,Country,Category,Plant type,Capital costs,O&M,Fuel (th),Fuel (el),Carbon,CHP heat revenues,LCOE,Unnamed: 10
0,,,,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh
1,Sweden,Nuclear,LTO (20 years) (1000 MW),5.93,12.92,0.00,9.33,0.00,0.00,28.18,
2,Denmark,Wind,Wind onshore (>= 1 MW) (4.5 MW),22.88,6.30,0.00,0.00,0.00,0.00,29.18,
3,Switzerland,Nuclear,LTO (20 years) (1000 MW),7.35,12.92,0.00,9.33,0.00,0.00,29.60,
4,France,Nuclear,LTO (20 years) (1000 MW),8.41,12.92,0.00,9.33,0.00,0.00,30.65,
5,Norway,Wind,Wind onshore (>= 1 MW) (130 MW),20.92,9.84,0.00,0.00,0.00,0.00,30.76,
6,Sweden,Nuclear,LTO (10 years) (1000 MW),9.11,12.92,0.00,9.33,0.00,0.00,31.36,
7,United States of America,Nuclear,LTO (20 years) (1000 MW),5.23,18.69,0.00,9.33,0.00,0.00,33.25,
8,Switzerland,Nuclear,LTO (10 years) (1000 MW),11.29,12.92,0.00,9.33,0.00,0.00,33.53,
9,Brazil,Wind,Wind onshore (>= 1 MW) (30.0 MW),27.61,5.98,0.00,0.00,0.00,0.00,33.59,
10,France,Solar,Solar PV (utility scale) (25.0 MW),30.42,3.52,0.00,0.00,0.00,0.00,33.94,
11,United States of America,Solar,Solar PV (utility scale) (100 MW),30.39,4.20,0.00,0.00,0.00,0.00,34.59,
12,France,Nuclear,LTO (10 years) (1000 MW),12.91,12.92,0.00,9.33,0.00,0.00,35.15,
13,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),26.48,8.71,0.00,0.00,0.00,0.00,35.19,
14,India,Solar,Solar PV (utility scale) (35.0 MW),31.91,3.69,0.00,0.00,0.00,0.00,35.60,
15,India,Wind,Wind onshore (>= 1 MW) (65.0 MW),32.19,3.72,0.00,0.00,0.00,0.00,35.91,
16,United States of America,Nuclear,LTO (10 years) (1000 MW),8.02,18.69,0.00,9.33,0.00,0.00,36.04,
17,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),27.23,9.57,0.00,0.00,0.00,0.00,36.80,
18,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),27.89,9.92,0.00,0.00,0.00,0.00,37.81,
19,United States of America,Solar,Solar PV (utility scale) (100 MW),33.44,4.62,0.00,0.00,0.00,0.00,38.06,
20,Norway,Hydro,Hydro reservoir (>= 5 MW) (30.0 MW),33.73,4.92,0.00,0.00,0.00,0.00,38.65,
21,Australia,Solar,Solar PV (utility scale) (100 MW),33.86,4.79,0.00,0.00,0.00,0.00,38.65,
22,United States of America,Wind,Wind onshore (>= 1 MW) (median case) (100 MW),28.76,10.26,0.00,0.00,0.00,0.00,39.02,
23,Mexico,Gas,Gas (CCGT) (835 MW),5.44,5.51,10.92,18.89,10.48,0.00,40.32,
24,Denmark,Solar,Solar PV (utility scale) (8.0 MW),34.14,6.97,0.00,0.00,0.00,0.00,41.11,
25,Netherlands,Wind,Wind onshore (>= 1 MW) (50.0 MW),25.93,15.23,0.00,0.00,0.00,0.00,41.17,
26,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),30.48,10.69,0.00,0.00,0.00,0.00,41.17,
27,Mexico,Gas,Gas (CCGT) (785 MW),7.78,5.73,10.92,18.29,10.15,0.00,41.95,
28,Russian Federation,Nuclear,Gen III projects (1122 MW),26.88,10.15,0.00,4.99,0.00,0.00,42.02,
29,Australia,Wind,Wind onshore (>= 1 MW) (100 MW),33.69,9.31,0.00,0.00,0.00,0.00,43.00,
30,Denmark,Solar,Solar PV (utility scale) (8.0 MW),35.87,7.69,0.00,0.00,0.00,0.00,43.56,
31,United States of America,Solar,Solar PV (utility scale) (median case) (100 MW),38.87,5.38,0.00,0.00,0.00,0.00,44.25,
32,Finland,Wind,Wind onshore (>= 1 MW) (30.0 MW),37.94,6.94,0.00,0.00,0.00,0.00,44.88,
33,United States of America,Gas,Gas (CCGT) (727 MW),11.10,5.30,10.92,18.38,10.20,0.00,44.98,
34,Denmark,Wind,Wind offshore (11.5 MW),32.76,12.33,0.00,0.00,0.00,0.00,45.09,
35,Brazil,Solar,Solar PV (utility scale) (25.0 MW),39.50,6.52,0.00,0.00,0.00,0.00,46.02,
36,Brazil,Hydro,Run of river (>= 5 MW) (248 MW),42.96,3.16,0.00,0.00,0.00,0.00,46.12,
